"pnr","sex","birth_date","death_date","emigration_date"
"00160",1,1930-05-02,1998-09-09,
"00161",0,1961-03-17,,
"00162",0,1955-01-29,,
"00163",0,1968-12-23,,
"00164",1,1939-09-26,2013-08-17,
"00165",1,1953-05-21,,
"00166",0,1938-09-01,2015-10-24,
"00167",1,1944-09-25,2009-01-12,
"00168",0,1952-07-03,2021-07-24,
"00169",0,1932-01-10,2006-07-17,
"00170",0,1947-08-20,2014-11-09,
"00171",1,1951-02-08,2022-04-14,
"00172",0,1931-10-15,2003-12-22,
"00173",0,1939-06-03,2011-01-18,
"00174",1,1948-04-16,2020-02-10,
"00175",0,1964-09-16,,
"00176",1,1960-10-13,,
"00177",0,1937-09-20,2020-07-18,
"00178",0,1968-12-21,,
"00179",0,1930-12-03,1997-04-25,
"00180",1,1962-02-18,,
"00181",1,1947-02-27,2015-08-03,
"00182",0,1950-01-20,2022-08-29,
"00183",0,1963-10-19,,
"00184",0,1964-03-06,,
"00185",0,1931-04-25,2016-08-18,
"00186",0,1939-12-08,2016-11-09,
"00187",1,1938-07-08,2006-02-18,
"00188",0,1934-11-29,2005-10-25,
"00189",0,1935-05-30,2006-11-20,
"00190",0,1936-02-14,2013-04-09,
"00191",0,1938-05-13,2005-09-11,
"00192",0,1951-06-11,,
"00193",1,1937-02-18,2003-07-07,
"00194",1,1931-07-06,2001-07-14,
"00195",0,1955-01-04,,
"00196",0,1944-10-08,2018-10-29,
"00197",1,1953-10-15,2017-08-12,
"00198",0,1933-03-24,2010-04-22,
"00199",0,1944-08-17,2015-11-23,
"00200",1,1945-05-13,2015-10-31,
"00201",1,1944-07-06,2007-08-15,
"00202",0,1941-04-06,2007-06-08,
"00203",0,1953-05-19,,
"00204",0,1931-02-03,2002-04-29,
"00205",1,1950-02-06,2011-10-21,
"00206",0,1969-05-02,,
"00207",0,1965-02-14,,
"00208",0,1952-08-07,2018-05-03,
"00209",0,1963-06-09,,
"00210",0,1931-02-18,1996-11-22,
"00211",1,1947-01-30,2021-02-10,
"00212",0,1952-05-13,2019-09-13,
"00213",1,1946-09-09,2022-09-10,
"00214",0,1963-10-01,,
"00215",1,1965-12-28,,
"00216",0,1950-01-10,,
"00217",1,1942-03-24,2013-02-04,
"00218",0,1950-07-07,,
"00219",1,1952-03-24,2016-03-21,
"00220",0,1955-07-13,,
"00221",1,1958-03-13,,
"00222",1,1966-07-17,,
"00223",0,1958-09-14,,
"00224",1,1937-04-14,2002-07-15,
"00225",0,1937-12-17,2002-04-18,
"00226",0,1930-11-24,1999-03-07,
"00227",0,1968-09-26,,
"00228",1,1966-10-26,,
"00229",0,1938-11-16,2014-10-14,
"00230",1,1950-10-15,,
"00231",1,1945-06-25,2008-02-16,
"00232",0,1959-10-14,2020-10-19,
"00233",1,1948-09-19,2019-01-11,
"00234",1,1939-04-14,2011-08-04,
"00235",0,1955-06-27,2017-12-29,
"00236",1,1942-03-20,2011-11-30,
"00237",1,1950-08-04,2017-10-02,
"00238",0,1953-02-02,,
"00239",1,1960-09-05,,
"00240",0,1949-01-20,2015-08-29,
"00241",0,1958-06-28,,
"00242",0,1956-01-24,,
"00243",0,1965-01-05,,
"00244",0,1943-01-18,2019-09-30,
"00245",1,1952-01-27,,
"00246",1,1955-04-08,,
"00247",1,1945-08-19,2021-07-14,
"00248",1,1966-02-24,,
"00249",0,1962-08-24,,
"00250",1,1938-07-26,2007-10-01,
"00251",1,1930-09-10,2002-11-08,
"00252",0,1952-03-09,,
"00253",0,1957-08-10,,
"00254",1,1931-07-27,2001-03-29,
"00255",0,1940-10-14,2011-10-01,
"00256",0,1950-11-06,,
"00257",1,1953-10-28,2020-08-30,
"00258",1,1952-06-24,2019-06-29,
"00259",0,1944-12-26,2017-09-18,
"00260",1,1969-11-01,,
"00261",0,1968-09-30,,
"00262",1,1958-02-10,,
"00263",1,1951-11-10,2011-12-12,
"00264",1,1963-07-01,,
"00265",1,1944-03-17,,
"00266",0,1939-09-08,2011-08-05,
"00267",0,1949-01-20,,2007-10-12
"00268",1,1967-11-08,,
"00269",0,1931-12-14,2002-03-16,
"00270",0,1931-12-10,2006-06-15,
"00271",0,1931-08-24,1998-08-08,
"00272",1,1949-10-28,2011-05-20,
"00273",0,1959-01-03,2019-11-30,
"00274",0,1953-05-19,,
"00275",0,1943-12-21,2017-03-21,
"00276",0,1932-04-14,1999-05-27,
"00277",0,1967-02-15,,
"00278",1,1948-06-10,,
"00279",0,1955-12-19,,
"00280",0,1953-12-13,,
"00281",0,1957-05-07,,
"00282",0,1953-07-21,2019-02-12,
"00283",1,1949-10-24,2022-04-25,
"00284",1,1942-12-03,2013-04-22,
"00285",0,1961-09-09,,
"00286",1,1951-06-19,,
"00287",1,1941-01-23,2008-02-14,
"00288",0,1936-11-02,2005-10-25,
"00289",0,1944-02-20,2020-02-15,
"00290",0,1957-07-09,,
"00291",0,1945-09-29,2011-04-14,
"00292",1,1934-09-20,2006-12-01,
"00293",1,1936-03-25,2003-11-03,
"00294",0,1955-04-15,,
"00295",0,1951-11-05,2020-06-12,
"00296",0,1967-07-19,,
"00297",1,1943-12-28,2020-03-03,
"00298",0,1949-07-26,,
"00299",1,1942-03-17,2015-12-05,
"00300",1,1930-11-12,2000-08-21,
"00301",1,1956-10-23,,
"00302",1,1961-11-21,,
"00303",0,1959-10-27,,
"00304",1,1943-05-30,2008-09-16,
"00305",0,1937-03-24,2014-08-30,
"00306",1,1960-08-04,,
"00307",1,1955-12-25,,
"00308",0,1949-02-17,,
"00309",0,1934-08-27,2015-05-03,
"00310",0,1968-09-26,,
"00311",1,1957-01-26,,
"00312",0,1949-03-12,2022-09-23,
"00313",0,1938-06-11,2015-07-03,
"00314",0,1943-12-31,2014-08-10,
"00315",0,1963-12-20,,
"00316",0,1954-04-10,,
"00317",1,1936-04-03,2011-02-16,
"00318",1,1938-12-28,2010-03-16,
"00319",1,1951-10-10,2022-09-04,
"00320",0,1963-11-21,,
"00321",0,1947-01-16,2017-08-27,
"00322",1,1959-02-15,,
"00323",0,1947-02-13,2018-08-09,
"00324",0,1938-09-03,2018-01-16,
"00325",0,1943-01-28,2017-06-20,
"00326",1,1951-07-10,2014-02-07,
"00327",0,1963-03-14,,
"00328",0,1954-10-02,,
"00329",1,1967-10-08,,
"00330",1,1947-05-04,2013-12-21,
"00331",1,1959-01-30,2020-03-11,
"00332",1,1930-10-10,2010-01-07,
"00333",1,1947-08-19,2022-10-22,
"00334",0,1942-06-24,2012-05-09,
"00335",1,1947-09-01,2019-08-09,
"00336",0,1960-11-04,,
"00337",0,1950-10-23,2013-02-06,
"00338",1,1930-11-30,2006-11-09,
"00339",0,1957-03-28,,
"00340",1,1948-11-16,2013-01-17,
"00341",0,1965-12-29,,
"00342",1,1946-02-17,,
"00343",0,1934-05-31,2003-02-09,
"00344",1,1939-01-07,2010-12-12,
"00345",1,1942-10-28,2016-10-06,
"00346",0,1959-01-29,,
"00347",0,1959-12-07,,
"00348",0,1964-01-03,,
"00349",0,1935-09-28,2008-07-29,
"00350",0,1935-01-17,2009-08-21,
"00351",0,1965-07-13,,
"00352",1,1961-05-28,,
"00353",1,1951-04-14,,
"00354",0,1943-08-04,2008-04-17,
"00355",0,1952-08-24,,
"00356",0,1943-06-13,,
"00357",0,1948-09-28,2012-10-09,
"00358",0,1930-08-20,2012-09-11,
"00359",1,1938-02-22,2004-08-05,
"00360",0,1967-11-26,,
"00361",1,1951-09-12,2020-05-27,
"00362",0,1944-07-01,2020-03-15,
"00363",1,1931-06-14,,1998-01-17
"00364",0,1959-09-25,,
"00365",0,1959-09-22,,
"00366",0,1964-05-04,,
"00367",0,1949-07-28,2012-07-22,
"00368",0,1954-09-04,2022-11-02,
"00369",0,1944-10-28,,
"00370",1,1939-09-30,2002-11-23,
"00371",0,1962-09-12,,
"00372",0,1960-02-21,,
"00373",1,1936-11-26,2016-07-06,
"00374",0,1957-10-22,,
"00375",0,1957-06-11,,
"00376",0,1937-08-11,2003-07-14,
"00377",1,1961-09-09,,
"00378",0,1944-02-09,2019-02-14,
"00379",0,1943-03-24,2011-03-25,
"00380",0,1968-07-23,,
"00381",1,1960-11-03,,
"00382",0,1949-04-17,2014-07-30,
"00383",1,1943-10-29,2011-12-08,
"00384",0,1938-02-21,2007-06-27,
"00385",1,1954-04-20,,
"00386",1,1964-04-02,,
"00387",0,1937-12-29,2016-05-11,
"00388",1,1937-02-01,2003-02-03,
"00389",0,1950-02-08,2017-10-21,
"00390",1,1962-02-14,,
"00391",0,1947-08-01,2016-11-10,
"00392",0,1938-07-03,2015-05-13,
"00393",1,1949-07-14,2019-07-06,
"00394",0,1932-11-29,2000-08-20,
"00395",1,1944-07-04,2009-08-06,
"00396",1,1942-03-06,2007-10-05,
"00397",1,1939-09-08,2003-11-09,
"00398",1,1947-04-29,2013-12-31,
"00399",0,1939-12-13,1999-09-13,
"00400",1,1953-02-02,,
"00401",0,1950-02-12,,
"00402",0,1937-01-15,2007-01-01,
"00403",0,1963-01-08,,
"00404",0,1941-08-01,2018-02-10,
"00405",1,1963-01-30,,
"00406",1,1941-01-28,2020-01-10,
"00407",0,1940-10-03,2012-10-11,
"00408",1,1942-06-22,2008-02-26,
"00409",0,1937-10-16,2014-02-19,
"00410",0,1948-09-19,2016-04-02,
"00411",1,1965-02-07,,
"00412",0,1967-02-18,,
"00413",1,1963-04-14,,
"00414",1,1953-07-06,,
"00415",0,1938-03-14,,2001-09-27
"00416",0,1932-05-11,2003-06-22,
"00417",0,1965-03-15,,
"00418",0,1960-08-26,,
"00419",0,1961-11-23,,
"00420",0,1966-06-20,,
"00421",0,1941-06-08,2008-11-29,
"00422",1,1941-03-18,2021-11-02,
"00423",1,1946-03-30,2012-07-24,
"00424",0,1936-11-25,2011-01-27,
"00425",1,1963-05-06,,
"00426",0,1943-05-23,2014-04-04,
"00427",1,1951-04-25,2021-07-09,
"00428",0,1942-10-17,2002-02-09,
"00429",0,1969-10-08,,
"00430",0,1953-07-01,2021-11-06,
"00431",0,1950-10-19,2019-05-11,
"00432",0,1958-04-27,,
"00433",0,1960-08-13,,
"00434",0,1950-08-13,2021-08-26,
"00435",0,1968-06-13,,
"00436",1,1941-01-28,2019-05-30,
"00437",1,1935-07-03,2003-07-10,
"00438",1,1950-03-31,,
"00439",0,1931-07-20,2007-05-26,
"00440",1,1947-10-18,2011-08-18,
"00441",0,1931-08-04,2001-06-24,
"00442",0,1965-06-18,,
"00443",0,1950-02-18,,
"00444",0,1944-05-01,2014-02-10,
"00445",0,1955-11-08,2022-08-06,
"00446",1,1958-11-21,,
"00447",0,1965-04-19,,
"00448",0,1948-06-22,2018-02-19,
"00449",1,1962-06-29,,
"00450",0,1959-09-23,,
"00451",1,1944-07-29,2009-08-11,
"00452",1,1934-10-06,2006-01-16,
"00453",1,1951-02-24,2020-12-14,
"00454",1,1951-04-16,,
"00455",1,1937-09-30,2010-02-20,
"00456",0,1951-11-11,,
"00457",0,1963-12-23,,
"00458",1,1938-06-28,2004-06-16,
"00459",0,1952-10-12,,
"00460",0,1943-07-21,2010-07-04,
"00461",0,1939-07-01,2013-01-17,
"00462",1,1943-06-16,2018-09-06,
"00463",1,1956-11-22,,
"00464",0,1951-02-23,2019-09-29,
"00465",0,1954-04-24,2017-01-05,
"00466",1,1965-12-26,,
"00467",1,1953-06-18,2013-02-04,
"00468",0,1968-01-21,,
"00469",0,1944-02-08,2012-07-31,
"00470",1,1969-01-09,,
"00471",0,1958-08-27,,
"00472",1,1945-06-19,2015-07-05,
"00473",0,1940-08-19,2013-07-02,
"00474",1,1956-02-24,,
"00475",0,1961-01-21,,
"00476",1,1967-09-06,,
"00477",0,1939-05-08,,1997-03-25
"00478",1,1959-06-18,,
"00479",1,1952-03-25,,
"00480",1,1967-09-19,,
"00481",0,1943-08-18,2021-06-08,
"00482",1,1931-07-17,2000-01-10,
"00483",0,1959-11-01,,
"00484",1,1954-08-21,2017-10-24,
"00485",1,1949-04-02,2022-04-07,
"00486",1,1967-10-10,,
"00487",1,1943-02-23,2018-01-03,
"00488",0,1962-08-14,,
"00489",1,1931-11-03,2002-02-27,
"00490",0,1942-07-09,2016-12-21,
"00491",1,1934-12-18,2014-01-31,
"00492",0,1956-09-10,,
"00493",1,1933-10-05,2004-11-01,
"00494",1,1935-01-04,2009-11-17,
"00495",0,1949-04-28,,
"00496",0,1958-04-16,,
"00497",1,1949-06-02,2021-07-12,
"00498",0,1961-01-13,,
"00499",0,1940-10-31,2018-09-14,
"00500",0,1943-02-02,2011-11-24,
"00501",0,1939-07-31,2006-11-26,
"00502",1,1957-01-13,,
"00503",1,1947-09-12,2021-07-06,
"00504",1,1968-10-24,,
"00505",1,1950-02-20,2020-08-04,
"00506",1,1963-07-24,,
"00507",1,1968-06-13,,
"00508",1,1939-08-06,2002-04-10,
"00509",1,1955-10-19,,
"00510",0,1938-12-28,2011-06-30,
"00511",1,1965-05-15,,
"00512",1,1933-12-31,2006-09-27,
"00513",1,1942-01-12,2007-04-22,
"00514",0,1945-09-13,2017-11-24,
"00515",1,1931-07-26,2007-06-13,
"00516",0,1931-02-16,2008-09-10,
"00517",1,1952-05-04,2019-11-02,
"00518",0,1961-05-23,,
"00519",0,1951-03-26,2019-08-15,
"00520",1,1961-05-29,,
"00521",0,1962-11-08,,
"00522",1,1967-11-05,,
"00523",1,1955-11-14,2022-06-20,
"00524",0,1942-01-21,2014-08-02,
"00525",1,1935-02-26,2007-04-20,
"00526",0,1954-03-11,2017-01-12,
"00527",0,1947-04-25,2013-07-02,
"00528",1,1933-09-08,2002-10-10,
"00529",0,1931-04-22,2014-11-02,
"00530",0,1960-09-29,,
"00531",1,1950-12-06,,
"00532",0,1959-08-02,,
"00533",0,1949-11-28,,
"00534",0,1953-01-27,,
"00535",0,1955-03-03,2022-03-01,
"00536",0,1951-03-02,2016-04-11,
"00537",1,1965-07-18,,
"00538",0,1952-12-06,,
"00539",0,1957-09-21,,
"00540",0,1948-08-27,,
"00541",0,1956-10-27,,
"00542",1,1963-01-30,,
"00543",0,1946-01-16,2020-07-10,
"00544",0,1939-08-30,2016-09-08,
"00545",1,1933-10-28,2009-03-19,
"00546",0,1968-03-07,,
"00547",0,1957-10-17,,
"00548",0,1950-12-03,,
"00549",1,1965-01-11,,
"00550",1,1955-02-16,2006-06-07,
"00551",0,1939-12-21,2016-01-12,
"00552",1,1938-01-01,2009-03-07,
"00553",0,1956-11-23,,
"00554",0,1947-02-07,2016-04-05,
"00555",1,1946-02-12,2015-10-30,
"00556",0,1944-12-08,2012-12-27,
"00557",0,1959-08-06,,
"00558",1,1958-09-22,,
"00559",0,1944-02-23,2018-05-24,
"00560",1,1951-08-19,,
"00561",1,1968-08-14,,
"00562",0,1949-12-29,2021-11-22,
"00563",1,1933-09-22,2002-05-11,
"00564",0,1937-07-12,2008-08-30,
"00565",1,1958-10-24,,
"00566",1,1948-09-15,2013-10-12,
"00567",1,1936-11-27,2008-02-23,
"00568",0,1956-12-16,,
"00569",0,1933-10-26,2002-12-02,
"00570",0,1942-12-22,2017-08-26,
"00571",0,1938-06-30,2013-10-26,
"00572",0,1934-06-21,2002-06-21,
"00573",0,1945-04-02,2017-05-23,
"00574",1,1934-02-25,2014-05-11,
"00575",0,1941-03-14,2018-07-26,
"00576",0,1939-11-12,2013-01-25,
"00577",1,1948-10-31,2005-06-06,
"00578",0,1948-09-11,2006-06-23,
"00579",0,1968-04-21,,
"00580",1,1957-06-08,,
"00581",1,1942-09-18,2000-08-01,
"00582",1,1951-11-14,2021-06-25,
"00583",1,1937-08-16,2014-04-07,
"00584",1,1969-09-16,,
"00585",0,1947-11-03,2022-04-22,
"00586",1,1948-10-22,2012-03-05,
"00587",0,1950-03-16,,
"00588",0,1945-03-13,2016-03-03,
"00589",0,1956-03-22,,
"00590",0,1953-04-24,2022-03-28,
"00591",0,1955-07-12,,
"00592",0,1952-06-19,,
"00593",1,1934-08-16,2002-01-18,
"00594",1,1952-06-21,,
"00595",0,1958-08-13,,
"00596",0,1936-07-05,2003-06-24,
"00597",1,1968-12-10,,
"00598",1,1962-07-13,,
"00599",0,1938-09-15,2007-01-01,
"00600",0,1969-06-30,,
"00601",0,1960-02-10,,
"00602",0,1950-06-23,,
"00603",1,1946-10-01,2008-10-19,
"00604",0,1947-08-15,2010-05-08,
"00605",0,1968-05-23,,
"00606",0,1949-03-10,2020-07-11,
"00607",0,1963-08-15,,
"00608",0,1935-12-29,2004-01-10,
"00609",1,1950-05-14,,
"00610",1,1965-08-10,,
"00611",0,1967-09-03,,
"00612",1,1954-12-12,2021-07-04,
"00613",1,1934-11-16,2002-09-14,
"00614",1,1959-12-31,,
"00615",0,1930-01-29,2002-12-15,
"00616",1,1945-01-22,2012-11-25,
"00617",1,1963-03-05,,
"00618",0,1943-07-09,2021-04-19,
"00619",0,1942-08-14,2014-02-22,
"00620",1,1951-09-19,2017-07-25,
"00621",1,1931-03-15,1995-12-22,
"00622",1,1952-06-16,2021-02-17,
"00623",0,1957-09-14,2019-06-06,
"00624",0,1959-07-12,,
"00625",0,1938-01-03,2013-05-01,
"00626",1,1951-10-01,,
"00627",1,1931-08-19,2004-05-17,
"00628",1,1961-11-27,2019-02-11,
"00629",0,1945-01-02,2019-01-15,
"00630",0,1964-12-05,,
"00631",1,1938-08-16,2003-02-10,
"00632",0,1941-05-30,2011-08-04,
"00633",0,1944-08-12,2010-08-02,
"00634",1,1965-07-12,,
"00635",0,1963-08-07,,
"00636",0,1943-07-29,2014-09-18,
"00637",1,1943-02-20,2018-02-26,
"00638",0,1947-05-24,2017-01-16,
"00639",1,1930-03-11,1997-11-18,
"00640",0,1946-03-30,2008-08-26,
"00641",1,1961-04-19,,
"00642",1,1967-09-17,,
"00643",0,1938-01-14,2008-06-05,
"00644",0,1936-01-23,2004-05-19,
"00645",1,1945-10-12,2020-09-14,
"00646",0,1948-05-01,2021-07-12,
"00647",1,1941-01-13,2014-08-05,
"00648",1,1932-09-19,2004-09-25,
"00649",0,1965-03-28,,
"00650",1,1964-05-26,,
"00651",1,1939-03-25,2009-04-05,
"00652",0,1941-03-07,2011-04-26,
"00653",0,1930-12-03,2007-05-16,
"00654",1,1957-02-24,,
"00655",0,1947-04-18,,2007-01-14
"00656",1,1957-12-06,,
"00657",0,1935-07-04,2001-08-04,
"00658",0,1944-02-17,2017-10-02,
"00659",1,1968-07-26,,
"00660",0,1960-08-07,,
"00661",0,1949-04-16,,
"00662",1,1958-08-08,,
"00663",0,1939-05-23,2004-03-31,
"00664",1,1947-01-06,2018-07-09,
"00665",0,1950-08-25,2020-04-14,
"00666",0,1931-04-24,2002-03-12,
"00667",0,1946-08-26,2016-11-20,
"00668",0,1939-02-14,2013-05-22,
"00669",1,1948-07-31,2017-10-09,
"00670",1,1954-06-10,2020-05-12,
"00671",1,1956-07-31,,
"00672",0,1944-10-27,2010-12-06,
"00673",0,1957-06-25,,
"00674",1,1934-06-19,1999-11-03,
"00675",1,1957-03-02,,
"00676",0,1954-04-05,,2017-07-09
"00677",0,1967-03-15,,
"00678",0,1931-02-10,2001-07-12,
"00679",0,1967-11-10,,
"00680",0,1949-01-08,2014-11-20,
"00681",0,1947-04-03,2011-08-15,
"00682",1,1946-12-13,2008-11-14,
"00683",1,1931-04-15,2009-11-13,
"00684",1,1937-09-09,2007-04-12,
"00685",1,1967-08-13,,
"00686",0,1936-05-06,2003-09-20,
"00687",0,1949-06-04,2010-03-11,
"00688",0,1939-03-29,2019-02-07,
"00689",0,1934-12-24,1999-02-18,
"00690",0,1956-09-27,,
"00691",0,1966-09-03,,
"00692",0,1952-07-06,2022-05-23,
"00693",1,1967-02-20,,
"00694",0,1953-03-20,,
"00695",0,1934-03-22,1998-02-01,
"00696",0,1930-08-16,2006-09-05,
"00697",0,1964-08-26,,
"00698",1,1932-07-15,2009-01-04,
"00699",0,1939-08-18,1999-07-14,
"00700",0,1935-09-01,2005-08-18,
"00701",0,1931-01-05,2002-07-25,
"00702",0,1931-08-12,2003-11-11,
"00703",1,1940-08-21,2015-06-19,
"00704",1,1931-08-02,1997-04-14,
"00705",1,1931-07-17,2008-07-29,
"00706",1,1949-06-19,2010-08-30,
"00707",1,1960-11-27,,
"00708",1,1969-11-16,,
"00709",0,1966-07-25,,
"00710",0,1938-08-09,2013-11-29,
"00711",0,1943-05-22,2012-12-29,
"00712",1,1968-01-11,,
"00713",1,1936-11-22,2004-12-07,
"00714",0,1963-10-13,,
"00715",0,1934-07-03,2003-11-04,
"00716",1,1939-08-03,2009-02-17,
"00717",0,1964-08-23,,
"00718",0,1961-04-14,,
"00719",1,1950-11-10,2019-04-21,
"00720",0,1963-08-26,,
"00721",1,1947-01-08,2020-01-02,
"00722",1,1933-01-20,2007-06-19,
"00723",0,1939-12-10,1999-09-11,
"00724",0,1947-10-25,,
"00725",1,1960-12-03,,
"00726",1,1960-10-29,,
"00727",1,1941-07-30,2002-06-01,
"00728",0,1952-11-08,,
"00729",0,1936-05-02,2010-07-20,
"00730",0,1954-04-05,,
"00731",1,1948-08-27,2012-05-18,
"00732",1,1951-08-18,,
"00733",0,1930-05-03,2001-01-22,
"00734",0,1954-02-24,,
"00735",0,1954-01-19,2020-05-28,
"00736",1,1955-10-14,,
"00737",1,1938-12-23,2009-10-16,
"00738",1,1932-10-04,2009-07-02,
"00739",0,1952-04-25,2021-08-15,
"00740",1,1960-07-10,2022-11-24,
"00741",0,1931-07-03,2012-11-06,
"00742",0,1943-11-11,2014-12-25,
"00743",1,1931-10-22,2006-11-26,
"00744",0,1955-05-02,2020-07-26,
"00745",0,1955-07-14,,
"00746",0,1933-12-07,2001-09-21,
"00747",0,1934-02-06,2015-04-05,
"00748",1,1956-10-02,,
"00749",1,1954-03-03,,
"00750",1,1954-04-14,,
"00751",0,1951-09-13,,2010-10-10
"00752",0,1954-07-12,,
"00753",1,1961-12-02,,
"00754",1,1948-03-03,,
